35 28 49
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
28  1:1 5:0 9:0 13:0 17:0 3:1 7:0
28  5:1 9:0 13:0 17:0 21:0 7:1 11:0
28  9:1 13:0 17:0 21:0 25:0 11:1 15:0
28  13:1 15:1 19:0
28  17:1 19:1 23:0
28  21:1 23:1 27:0
28  25:1 27:1
29  0:1  1:1 5:0 9:0 13:0 17:0 3:1 7:0
29  4:1  5:1 9:0 13:0 17:0 21:0 7:1 11:0
29  8:1  9:1 13:0 17:0 21:0 25:0 11:1 15:0
29  12:1  13:1 15:1 19:0
29  16:1  17:1 19:1 23:0
29  20:1  21:1 23:1 27:0
29  24:1  25:1 27:1
30  0:1  3:1 7:0
30  4:1  7:1 11:0
30  8:1  11:1 15:0
30  12:1  15:1 19:0
30  16:1  19:1 23:0
30  20:1  23:1 27:0
30  24:1  27:1
31  0:1  3:1 7:0
31  4:1  7:1 11:0
31  8:1  11:1 15:0
31  12:1  15:1 19:0
31  16:1  19:1 23:0
31  20:1  23:1 27:0
31  24:1  27:1
32  0:1  1:1 5:0 9:0 13:0 17:0 3:1 7:0
32  4:1  5:1 9:0 13:0 17:0 21:0 7:1 11:0
32  8:1  9:1 13:0 17:0 21:0 25:0 11:1 15:0
32  12:1  13:1 15:1 19:0
32  16:1  17:1 19:1 23:0
32  20:1  21:1 23:1 27:0
32  24:1  25:1 27:1
33  0:1  1:1 5:0 9:0 13:0 17:0
33  4:1  5:1 9:0 13:0 17:0 21:0
33  8:1  9:1 13:0 17:0 21:0 25:0
33  12:1  13:1
33  16:1  17:1
33  20:1  21:1
33  24:1  25:1
34  0:1  1:1 5:0 9:0 13:0 17:0
34  4:1  5:1 9:0 13:0 17:0 21:0
34  8:1  9:1 13:0 17:0 21:0 25:0
34  12:1  13:1
34  16:1  17:1
34  20:1  21:1
34  24:1  25:1
