42 36 148
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
36 3:1  4:1 10:0 5:1 11:0
36 3:1  4:1 16:0 5:1 11:0
36 3:1  4:1 10:0 5:1 17:0
36 3:1  4:1 16:0 5:1 17:0
36 9:1  10:1 16:0 11:1 17:0
36 9:1  10:1 22:0 11:1 17:0
36 9:1  10:1 16:0 11:1 23:0
36 9:1  10:1 22:0 11:1 23:0
36 15:1  16:1 22:0 17:1 23:0
36 15:1  16:1 28:0 17:1 23:0
36 15:1  16:1 22:0 17:1 29:0
36 15:1  16:1 28:0 17:1 29:0
36 21:1  22:1 28:0 23:1 29:0
36 21:1  22:1 34:0 23:1 29:0
36 21:1  22:1 28:0 23:1 35:0
36 21:1  22:1 34:0 23:1 35:0
36 27:1  28:1 34:0 29:1 35:0
36 33:1  34:1 35:1
37 3:1  4:1 10:0 5:1 11:0
37 3:1  4:1 16:0 5:1 11:0
37 3:1  4:1 10:0 5:1 17:0
37 3:1  4:1 16:0 5:1 17:0
37 9:1  10:1 16:0 11:1 17:0
37 9:1  10:1 22:0 11:1 17:0
37 9:1  10:1 16:0 11:1 23:0
37 9:1  10:1 22:0 11:1 23:0
37 15:1  16:1 22:0 17:1 23:0
37 15:1  16:1 28:0 17:1 23:0
37 15:1  16:1 22:0 17:1 29:0
37 15:1  16:1 28:0 17:1 29:0
37 21:1  22:1 28:0 23:1 29:0
37 21:1  22:1 34:0 23:1 29:0
37 21:1  22:1 28:0 23:1 35:0
37 21:1  22:1 34:0 23:1 35:0
37 27:1  28:1 34:0 29:1 35:0
37 33:1  34:1 35:1
38 1:1 7:0 2:1  3:1  4:1 10:0 5:1 11:0
38 1:1 13:0 2:1  3:1  4:1 10:0 5:1 11:0
38 1:1 7:0 2:1  3:1  4:1 16:0 5:1 11:0
38 1:1 13:0 2:1  3:1  4:1 16:0 5:1 11:0
38 1:1 7:0 2:1  3:1  4:1 10:0 5:1 17:0
38 1:1 13:0 2:1  3:1  4:1 10:0 5:1 17:0
38 1:1 7:0 2:1  3:1  4:1 16:0 5:1 17:0
38 1:1 13:0 2:1  3:1  4:1 16:0 5:1 17:0
38 7:1 13:0 8:1  9:1  10:1 16:0 11:1 17:0
38 7:1 19:0 8:1  9:1  10:1 16:0 11:1 17:0
38 7:1 13:0 8:1  9:1  10:1 22:0 11:1 17:0
38 7:1 19:0 8:1  9:1  10:1 22:0 11:1 17:0
38 7:1 13:0 8:1  9:1  10:1 16:0 11:1 23:0
38 7:1 19:0 8:1  9:1  10:1 16:0 11:1 23:0
38 7:1 13:0 8:1  9:1  10:1 22:0 11:1 23:0
38 7:1 19:0 8:1  9:1  10:1 22:0 11:1 23:0
38 13:1 19:0 14:1  15:1  16:1 22:0 17:1 23:0
38 13:1 25:0 14:1  15:1  16:1 22:0 17:1 23:0
38 13:1 19:0 14:1  15:1  16:1 28:0 17:1 23:0
38 13:1 25:0 14:1  15:1  16:1 28:0 17:1 23:0
38 13:1 19:0 14:1  15:1  16:1 22:0 17:1 29:0
38 13:1 25:0 14:1  15:1  16:1 22:0 17:1 29:0
38 13:1 19:0 14:1  15:1  16:1 28:0 17:1 29:0
38 13:1 25:0 14:1  15:1  16:1 28:0 17:1 29:0
38 19:1 25:0 20:1  21:1  22:1 28:0 23:1 29:0
38 19:1 31:0 20:1  21:1  22:1 28:0 23:1 29:0
38 19:1 25:0 20:1  21:1  22:1 34:0 23:1 29:0
38 19:1 31:0 20:1  21:1  22:1 34:0 23:1 29:0
38 19:1 25:0 20:1  21:1  22:1 28:0 23:1 35:0
38 19:1 31:0 20:1  21:1  22:1 28:0 23:1 35:0
38 19:1 25:0 20:1  21:1  22:1 34:0 23:1 35:0
38 19:1 31:0 20:1  21:1  22:1 34:0 23:1 35:0
38 25:1 31:0 26:1  27:1  28:1 34:0 29:1 35:0
38 31:1 32:1  33:1  34:1 35:1
39 1:1 7:0 2:1  3:1  4:1 10:0 5:1 11:0
39 1:1 13:0 2:1  3:1  4:1 10:0 5:1 11:0
39 1:1 7:0 2:1  3:1  4:1 16:0 5:1 11:0
39 1:1 13:0 2:1  3:1  4:1 16:0 5:1 11:0
39 1:1 7:0 2:1  3:1  4:1 10:0 5:1 17:0
39 1:1 13:0 2:1  3:1  4:1 10:0 5:1 17:0
39 1:1 7:0 2:1  3:1  4:1 16:0 5:1 17:0
39 1:1 13:0 2:1  3:1  4:1 16:0 5:1 17:0
39 7:1 13:0 8:1  9:1  10:1 16:0 11:1 17:0
39 7:1 19:0 8:1  9:1  10:1 16:0 11:1 17:0
39 7:1 13:0 8:1  9:1  10:1 22:0 11:1 17:0
39 7:1 19:0 8:1  9:1  10:1 22:0 11:1 17:0
39 7:1 13:0 8:1  9:1  10:1 16:0 11:1 23:0
39 7:1 19:0 8:1  9:1  10:1 16:0 11:1 23:0
39 7:1 13:0 8:1  9:1  10:1 22:0 11:1 23:0
39 7:1 19:0 8:1  9:1  10:1 22:0 11:1 23:0
39 13:1 19:0 14:1  15:1  16:1 22:0 17:1 23:0
39 13:1 25:0 14:1  15:1  16:1 22:0 17:1 23:0
39 13:1 19:0 14:1  15:1  16:1 28:0 17:1 23:0
39 13:1 25:0 14:1  15:1  16:1 28:0 17:1 23:0
39 13:1 19:0 14:1  15:1  16:1 22:0 17:1 29:0
39 13:1 25:0 14:1  15:1  16:1 22:0 17:1 29:0
39 13:1 19:0 14:1  15:1  16:1 28:0 17:1 29:0
39 13:1 25:0 14:1  15:1  16:1 28:0 17:1 29:0
39 19:1 25:0 20:1  21:1  22:1 28:0 23:1 29:0
39 19:1 31:0 20:1  21:1  22:1 28:0 23:1 29:0
39 19:1 25:0 20:1  21:1  22:1 34:0 23:1 29:0
39 19:1 31:0 20:1  21:1  22:1 34:0 23:1 29:0
39 19:1 25:0 20:1  21:1  22:1 28:0 23:1 35:0
39 19:1 31:0 20:1  21:1  22:1 28:0 23:1 35:0
39 19:1 25:0 20:1  21:1  22:1 34:0 23:1 35:0
39 19:1 31:0 20:1  21:1  22:1 34:0 23:1 35:0
39 25:1 31:0 26:1  27:1  28:1 34:0 29:1 35:0
39 31:1 32:1  33:1  34:1 35:1
40 1:1 7:0 2:1  3:1  4:1 10:0 5:1 11:0
40 1:1 13:0 2:1  3:1  4:1 10:0 5:1 11:0
40 1:1 7:0 2:1  3:1  4:1 16:0 5:1 11:0
40 1:1 13:0 2:1  3:1  4:1 16:0 5:1 11:0
40 1:1 7:0 2:1  3:1  4:1 10:0 5:1 17:0
40 1:1 13:0 2:1  3:1  4:1 10:0 5:1 17:0
40 1:1 7:0 2:1  3:1  4:1 16:0 5:1 17:0
40 1:1 13:0 2:1  3:1  4:1 16:0 5:1 17:0
40 7:1 13:0 8:1  9:1  10:1 16:0 11:1 17:0
40 7:1 19:0 8:1  9:1  10:1 16:0 11:1 17:0
40 7:1 13:0 8:1  9:1  10:1 22:0 11:1 17:0
40 7:1 19:0 8:1  9:1  10:1 22:0 11:1 17:0
40 7:1 13:0 8:1  9:1  10:1 16:0 11:1 23:0
40 7:1 19:0 8:1  9:1  10:1 16:0 11:1 23:0
40 7:1 13:0 8:1  9:1  10:1 22:0 11:1 23:0
40 7:1 19:0 8:1  9:1  10:1 22:0 11:1 23:0
40 13:1 19:0 14:1  15:1  16:1 22:0 17:1 23:0
40 13:1 25:0 14:1  15:1  16:1 22:0 17:1 23:0
40 13:1 19:0 14:1  15:1  16:1 28:0 17:1 23:0
40 13:1 25:0 14:1  15:1  16:1 28:0 17:1 23:0
40 13:1 19:0 14:1  15:1  16:1 22:0 17:1 29:0
40 13:1 25:0 14:1  15:1  16:1 22:0 17:1 29:0
40 13:1 19:0 14:1  15:1  16:1 28:0 17:1 29:0
40 13:1 25:0 14:1  15:1  16:1 28:0 17:1 29:0
40 19:1 25:0 20:1  21:1  22:1 28:0 23:1 29:0
40 19:1 31:0 20:1  21:1  22:1 28:0 23:1 29:0
40 19:1 25:0 20:1  21:1  22:1 34:0 23:1 29:0
40 19:1 31:0 20:1  21:1  22:1 34:0 23:1 29:0
40 19:1 25:0 20:1  21:1  22:1 28:0 23:1 35:0
40 19:1 31:0 20:1  21:1  22:1 28:0 23:1 35:0
40 19:1 25:0 20:1  21:1  22:1 34:0 23:1 35:0
40 19:1 31:0 20:1  21:1  22:1 34:0 23:1 35:0
40 25:1 31:0 26:1  27:1  28:1 34:0 29:1 35:0
40 31:1 32:1  33:1  34:1 35:1
41 1:1 7:0 3:1
41 1:1 13:0 3:1
41 7:1 13:0 9:1
41 7:1 19:0 9:1
41 13:1 19:0 15:1
41 13:1 25:0 15:1
41 19:1 25:0 21:1
41 19:1 31:0 21:1
41 25:1 31:0 27:1
41 31:1 33:1
