68 32 6138
.0
.1
.2
.3
.4
.5
.6
.7
.8
.9
.10
.11
.12
+0
+1
+2
+3
+4
+5
+6
+7
+8
+9
+10
+11
+12
+13
+14
+15
+16
+17
+18
l1
l2
l3
l4
l5
l6
l7
l8
l9
l10
l11
l12
l13
l14
l15
l16
l17
l18
e0
e1
e2
e3
e4
e5
e6
e7
e8
e9
e10
e11
e12
e13
e14
e15
e16
e17
32 50 0:0 2:1 13:0 14:2
32 50 0:1 2:0 14:0 13:2
32 51 1:0 2:1 13:1 14:2
32 51 1:1 2:0 14:1 13:2
32 52 1:0 3:1 13:1 14:3
32 52 1:1 3:0 14:1 13:3
32 53 1:0 4:1 13:1 14:4
32 53 1:1 4:0 14:1 13:4
32 54 1:0 5:1 13:1 14:5
32 54 1:1 5:0 14:1 13:5
32 55 2:0 5:1 13:2 14:5
32 55 2:1 5:0 14:2 13:5
32 56 2:0 6:1 13:2 14:6
32 56 2:1 6:0 14:2 13:6
32 57 3:0 4:1 13:3 14:4
32 57 3:1 4:0 14:3 13:4
32 58 3:0 7:1 13:3 14:7
32 58 3:1 7:0 14:3 13:7
32 59 3:0 8:1 13:3 14:8
32 59 3:1 8:0 14:3 13:8
32 60 4:0 8:1 13:4 14:8
32 60 4:1 8:0 14:4 13:8
32 61 5:0 6:1 13:5 14:6
32 61 5:1 6:0 14:5 13:6
32 62 7:0 8:1 13:7 14:8
32 62 7:1 8:0 14:7 13:8
32 63 7:0 9:1 13:7 14:9
32 63 7:1 9:0 14:7 13:9
32 64 9:0 10:1 13:9 14:10
32 64 9:1 10:0 14:9 13:10
32 65 10:0 11:1 13:10 14:11
32 65 10:1 11:0 14:10 13:11
32 66 10:0 12:1 13:10 14:12
32 66 10:1 12:0 14:10 13:12
32 67 11:0 12:1 13:11 14:12
32 67 11:1 12:0 14:11 13:12
32 50 0:1 2:2 14:0 15:2
32 50 0:2 2:1 15:0 14:2
32 51 1:1 2:2 14:1 15:2
32 51 1:2 2:1 15:1 14:2
32 52 1:1 3:2 14:1 15:3
32 52 1:2 3:1 15:1 14:3
32 53 1:1 4:2 14:1 15:4
32 53 1:2 4:1 15:1 14:4
32 54 1:1 5:2 14:1 15:5
32 54 1:2 5:1 15:1 14:5
32 55 2:1 5:2 14:2 15:5
32 55 2:2 5:1 15:2 14:5
32 56 2:1 6:2 14:2 15:6
