66 42 144
d2
d3
d4
d5
d6
d7
d8
d9
d10
d11
d12
d13
d14
d15
d16
d17
d18
d19
d20
d21
d22
r2
r3
r4
r5
r6
r7
r8
r9
r10
r11
r12
r13
r14
r15
r16
r17
r18
r19
r20
r21
r22
c1
c2
c3
c4
c5
c6
c7
c8
c9
c10
c11
c12
l1
l2
l3
l4
l5
l6
l7
l8
l9
l10
l11
l12
42 54 31:0
42 55 0:0 32:0
42 56 1:0 33:0
42 57 2:0 34:0
42 58 3:0 35:0
42 59 4:0 36:0
42 60 5:0 37:0
42 61 6:0 38:0
42 62 7:0 39:0
42 63 8:0 40:0
42 64 9:0 41:0
42 65 10:0
43 54 0:1 30:1
43 55 1:1 31:1
43 56 2:1 32:1
43 57 3:1 33:1
43 58 4:1 34:1
43 59 5:1 35:1
43 60 6:1 36:1
43 61 7:1 37:1
43 62 8:1 38:1
43 63 9:1 39:1
43 64 10:1 40:1
43 65 11:1 41:1
44 54 1:2 29:2
44 55 2:2 30:2
44 56 3:2 31:2
44 57 4:2 32:2
44 58 5:2 33:2
44 59 6:2 34:2
44 60 7:2 35:2
44 61 8:2 36:2
44 62 9:2 37:2
44 63 10:2 38:2
44 64 11:2 39:2
44 65 12:2 40:2
45 54 2:3 28:3
45 55 3:3 29:3
45 56 4:3 30:3
45 57 5:3 31:3
45 58 6:3 32:3
45 59 7:3 33:3
45 60 8:3 34:3
45 61 9:3 35:3
45 62 10:3 36:3
45 63 11:3 37:3
45 64 12:3 38:3
45 65 13:3 39:3
46 54 3:4 27:4
46 55 4:4 28:4
46 56 5:4 29:4
46 57 6:4 30:4
46 58 7:4 31:4
46 59 8:4 32:4
46 60 9:4 33:4
46 61 10:4 34:4
46 62 11:4 35:4
46 63 12:4 36:4
46 64 13:4 37:4
46 65 14:4 38:4
47 54 4:5 26:5
47 55 5:5 27:5
47 56 6:5 28:5
47 57 7:5 29:5
47 58 8:5 30:5
47 59 9:5 31:5
47 60 10:5 32:5
47 61 11:5 33:5
47 62 12:5 34:5
47 63 13:5 35:5
47 64 14:5 36:5
47 65 15:5 37:5
48 54 5:6 25:6
48 55 6:6 26:6
48 56 7:6 27:6
48 57 8:6 28:6
48 58 9:6 29:6
48 59 10:6 30:6
48 60 11:6 31:6
48 61 12:6 32:6
48 62 13:6 33:6
48 63 14:6 34:6
48 64 15:6 35:6
48 65 16:6 36:6
49 54 6:7 24:7
49 55 7:7 25:7
49 56 8:7 26:7
49 57 9:7 27:7
49 58 10:7 28:7
49 59 11:7 29:7
49 60 12:7 30:7
49 61 13:7 31:7
49 62 14:7 32:7
49 63 15:7 33:7
49 64 16:7 34:7
49 65 17:7 35:7
50 54 7:8 23:8
50 55 8:8 24:8
50 56 9:8 25:8
50 57 10:8 26:8
50 58 11:8 27:8
50 59 12:8 28:8
50 60 13:8 29:8
50 61 14:8 30:8
50 62 15:8 31:8
50 63 16:8 32:8
50 64 17:8 33:8
50 65 18:8 34:8
51 54 8:9 22:9
51 55 9:9 23:9
51 56 10:9 24:9
51 57 11:9 25:9
51 58 12:9 26:9
51 59 13:9 27:9
51 60 14:9 28:9
51 61 15:9 29:9
51 62 16:9 30:9
51 63 17:9 31:9
51 64 18:9 32:9
51 65 19:9 33:9
52 54 9:10 21:10
52 55 10:10 22:10
52 56 11:10 23:10
52 57 12:10 24:10
52 58 13:10 25:10
52 59 14:10 26:10
52 60 15:10 27:10
52 61 16:10 28:10
52 62 17:10 29:10
52 63 18:10 30:10
52 64 19:10 31:10
52 65 20:10 32:10
53 54 10:11
53 55 11:11 21:11
53 56 12:11 22:11
53 57 13:11 23:11
53 58 14:11 24:11
53 59 15:11 25:11
53 60 16:11 26:11
53 61 17:11 27:11
53 62 18:11 28:11
53 63 19:11 29:11
53 64 20:11 30:11
53 65 31:11
