42 26 64
d2
d3
d4
d5
d6
d7
d8
d9
d10
d11
d12
d13
d14
r2
r3
r4
r5
r6
r7
r8
r9
r10
r11
r12
r13
r14
c1
c2
c3
c4
c5
c6
c7
c8
l1
l2
l3
l4
l5
l6
l7
l8
26 34 19:0
26 35 0:0 20:0
26 36 1:0 21:0
26 37 2:0 22:0
26 38 3:0 23:0
26 39 4:0 24:0
26 40 5:0 25:0
26 41 6:0
27 34 0:1 18:1
27 35 1:1 19:1
27 36 2:1 20:1
27 37 3:1 21:1
27 38 4:1 22:1
27 39 5:1 23:1
27 40 6:1 24:1
27 41 7:1 25:1
28 34 1:2 17:2
28 35 2:2 18:2
28 36 3:2 19:2
28 37 4:2 20:2
28 38 5:2 21:2
28 39 6:2 22:2
28 40 7:2 23:2
28 41 8:2 24:2
29 34 2:3 16:3
29 35 3:3 17:3
29 36 4:3 18:3
29 37 5:3 19:3
29 38 6:3 20:3
29 39 7:3 21:3
29 40 8:3 22:3
29 41 9:3 23:3
30 34 3:4 15:4
30 35 4:4 16:4
30 36 5:4 17:4
30 37 6:4 18:4
30 38 7:4 19:4
30 39 8:4 20:4
30 40 9:4 21:4
30 41 10:4 22:4
31 34 4:5 14:5
31 35 5:5 15:5
31 36 6:5 16:5
31 37 7:5 17:5
31 38 8:5 18:5
31 39 9:5 19:5
31 40 10:5 20:5
31 41 11:5 21:5
32 34 5:6 13:6
32 35 6:6 14:6
32 36 7:6 15:6
32 37 8:6 16:6
32 38 9:6 17:6
32 39 10:6 18:6
32 40 11:6 19:6
32 41 12:6 20:6
33 34 6:7
33 35 7:7 13:7
33 36 8:7 14:7
33 37 9:7 15:7
33 38 10:7 16:7
33 39 11:7 17:7
33 40 12:7 18:7
33 41 19:7
