n	solutions					unique solutions	
1	1							1
2	0							0
3	0							0
4	2							1
5	10							2
6	4							1
7	40							6
8	92							12
9	352							46
10	724							92
11	2 680						341
12	14 200						1 787
13	73 712						9 233
14	365 596						45 752
15	2 279 184					285 053
16	14 772 512					1 846 955
17	95 815 104					11 977 939
18	666 090 624					83 263 591
19	4 968 057 848				621 012 754
20	39 029 188 884				4 878 666 808
21	314 666 222 712				39 333 324 973
22	2 691 008 701 644			336 376 244 042
23	24 233 937 684 440			3 029 242 658 210
24	227 514 171 973 736			28 439 272 956 934
25	2 207 893 435 808 352		275 986 683 743 434
26	22 317 699 616 364 044		2 789 712 466 510 289
27	234 907 967 154 122 528		29 363 495 934 315 694
